"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant","contrast"
"ENSSSCT00000035848.5",1.22852820868108,4.80477353600407,4.85635574795023,2.21390824775379e-05,0.0257793801820588,2.41806118725249,"ENSSSCT00000035848.5","ENSSSCG00000001341",NA,"ENSSSCG00000001341","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000061945.2",2.66972907229307,4.32611187465019,4.81674140570983,2.50033395559813e-05,0.0281106511339039,2.4109610499833,"ENSSSCT00000061945.2","ENSSSCG00000024973","GBP1","GBP1","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000084744.1",-5.26287224842818,-5.34514976468507,-5.77142355668544,1.29659864846989e-06,0.00704571705578536,2.39683487895322,"ENSSSCT00000084744.1","ENSSSCG00000011795","IGF2BP2","IGF2BP2","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000017996.5",1.35125372292473,3.03348069524022,4.7568871777191,3.00400962407899e-05,0.0308104380015234,2.39483296691867,"ENSSSCT00000017996.5","ENSSSCG00000021354","CNOT4","CNOT4","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000056863.2",1.90450716279279,3.21314084527541,4.74579143577932,3.1078387575199e-05,0.0308104380015234,2.31502666905554,"ENSSSCT00000056863.2","ENSSSCG00000040673","TMEM140","TMEM140","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000016131.6",1.03422012795141,3.35117463710134,4.74766645058988,3.09004745840151e-05,0.0308104380015234,2.31454077065504,"ENSSSCT00000016131.6","ENSSSCG00000014780","TRIM21","TRIM21","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000035232.4",2.04530244790289,3.94976677080629,4.74467655533469,3.11846538476958e-05,0.0308104380015234,2.26082059760291,"ENSSSCT00000035232.4","ENSSSCG00000012853","IRF7","IRF7","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000087243.1",-3.58029033333329,-1.72418253302878,-5.45782723859051,3.44143508440872e-06,0.0113607114493684,2.06771472741439,"ENSSSCT00000087243.1","ENSSSCG00000040710","SURF4","SURF4","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000034721.4",2.82157653646716,3.03335506035845,4.62322240283977,4.51923154975572e-05,0.0397830770844353,1.992942539862,"ENSSSCT00000034721.4","ENSSSCG00000058709",NA,"ENSSSCG00000058709","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000013187.5",1.06881026605653,4.77197013557266,4.61479852086689,4.6367222709132e-05,0.0397830770844353,1.7360040572699,"ENSSSCT00000013187.5","ENSSSCG00000012055","MORC3","MORC3","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000001682.5",1.08490818262207,3.30473988703306,4.50625107497068,6.44876963966113e-05,0.0467234856292248,1.65841876901343,"ENSSSCT00000001682.5","ENSSSCG00000001509","DAXX","DAXX","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000024643.4",1.25884518888409,4.42152449827989,4.57765145339631,5.19178577410455e-05,0.0434033290715141,1.65301561719607,"ENSSSCT00000024643.4","ENSSSCG00000024867","ISG20","ISG20","Significant","Bronchial_24hpi_Inf_vs_Mock"
