"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant"
"ENSSSCT00000083760.1",0.234613810061455,-3.92225529807633,0.196940837073777,0.844955622087668,0.999936080199931,-4.60097885458407,"ENSSSCT00000083760.1","ENSSSCG00000013300","EHF","EHF","Not"
"ENSSSCT00000052783.2",0.0905754754042416,-3.92450654120583,0.0865015430120711,0.931535864786072,0.999936080199931,-4.60097936299106,"ENSSSCT00000052783.2","ENSSSCG00000006243","PENK","PENK","Not"
"ENSSSCT00000064141.3",0.950844416518982,-2.37120233398874,0.570674957450552,0.571682423906411,0.999936080199931,-4.60097971008767,"ENSSSCT00000064141.3","ENSSSCG00000003807","DNAJC6","DNAJC6","Not"
"ENSSSCT00000069488.1",-0.225431875815988,-3.2100273128942,-0.260758934272513,0.795729560251224,0.999936080199931,-4.60098050103294,"ENSSSCT00000069488.1","ENSSSCG00000044065",NA,"ENSSSCG00000044065","Not"
"ENSSSCT00000002795.5",-0.306415015152488,0.768242518505098,-0.860475182862952,0.395089020845152,0.999936080199931,-4.60098102754933,"ENSSSCT00000002795.5","ENSSSCG00000002517","WDR25","WDR25","Not"
"ENSSSCT00000094466.1",0.0407875309750874,-4.16505912275864,0.0265932696219528,0.978927580187185,0.999936080199931,-4.60098153263229,"ENSSSCT00000094466.1","ENSSSCG00000002802","GINS3","GINS3","Not"
"ENSSSCT00000084410.2",0.487573084465086,-3.26636989605233,0.36960784986034,0.713789473861689,0.999936080199931,-4.60098203413859,"ENSSSCT00000084410.2","ENSSSCG00000013043","MACROD1","MACROD1","Not"
"ENSSSCT00000004971.3",1.97222316469932,1.49005516514208,0.829482813518968,0.412170354394728,0.999936080199931,-4.60098211159784,"ENSSSCT00000004971.3","ENSSSCG00000004499","ATP5F1A","ATP5F1A","Not"
"ENSSSCT00000036720.3",0.0973590543565082,-4.17460509923471,0.073182956170015,0.942056172120112,0.999936080199931,-4.60098292396128,"ENSSSCT00000036720.3","ENSSSCG00000036610","ARMC8","ARMC8","Not"
"ENSSSCT00000088242.1",-0.0960289549684281,-4.460389856727,-0.0808842668554368,0.935971525528769,0.999936080199931,-4.60098293358027,"ENSSSCT00000088242.1","ENSSSCG00000008266","LOXL3","LOXL3","Not"
"ENSSSCT00000050640.3",-0.530193817669091,-3.72846109033363,-0.280044546833788,0.781008787119458,0.999936080199931,-4.60098347828575,"ENSSSCT00000050640.3","ENSSSCG00000000939","ACSS3","ACSS3","Not"
"ENSSSCT00000103869.1",-0.708863907037017,-2.43694550058514,-0.405507011922318,0.687448780161311,0.999936080199931,-4.60098447639009,"ENSSSCT00000103869.1","ENSSSCG00000000936","SLC6A15","SLC6A15","Not"
