"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000008169","TBC1D8","protein_coding",1,6.97599098606726,1.91974247743432e-11,3.98827404478482e-10
"ENSSSCG00000005846","NELFB","protein_coding",2,13.8024202278019,1.9247586210611e-11,3.99132781623837e-10
"ENSSSCG00000005719","RAPGEF1","protein_coding",1,7.55439085162703,1.95300192813106e-11,4.03893484000365e-10
"ENSSSCG00000005899","MFSD3","protein_coding",1,7.18100418972786,1.95179583377648e-11,4.03893484000365e-10
"ENSSSCG00000018033","UBB","protein_coding",1,10.7432764686559,1.99316511280061e-11,4.11642465120699e-10
"ENSSSCG00000036898","NIPA2","protein_coding",2,13.27537787553,2.00630983652513e-11,4.13798019320021e-10
"ENSSSCG00000039885","PTP4A2","protein_coding",4,26.3827009924613,2.01528162700847e-11,4.15088262878308e-10
"ENSSSCG00000025210","ATG10","protein_coding",2,6.98389978004007,2.03262932679898e-11,4.18097900423537e-10
"ENSSSCG00000035999","NUDT16L1","protein_coding",2,10.0601519703757,2.0899696217181e-11,4.29314593127927e-10
"ENSSSCG00000038442","TMLHE","protein_coding",1,6.81666371030213,2.10137131864643e-11,4.31077286749978e-10
"ENSSSCG00000017136","TBCD","protein_coding",2,11.0405691991324,2.11168983899825e-11,4.32613348651612e-10
"ENSSSCG00000002795","CDH11","protein_coding",1,7.08286804951501,2.11977912733842e-11,4.3348701413951e-10
"ENSSSCG00000009180","TRMT10A","protein_coding",3,10.0575833582424,2.12162721047146e-11,4.3348701413951e-10
"ENSSSCG00000012656","ELF4","protein_coding",1,6.42460035606051,2.14686232920661e-11,4.38057369522892e-10
"ENSSSCG00000035090","RAC1","protein_coding",4,28.4924168921008,2.15615149235983e-11,4.39366176769803e-10
"ENSSSCG00000038505","MSI2","protein_coding",4,21.394521535198,2.16651751615944e-11,4.4089064180379e-10
"ENSSSCG00000030369","YARS1","protein_coding",1,8.45514915981489,2.26321685547882e-11,4.5994770381702e-10
"ENSSSCG00000039424","MCRIP1","protein_coding",1,7.49563442081245,2.26618216956237e-11,4.5994770381702e-10
"ENSSSCG00000007672","POP7","protein_coding",3,13.1999796230978,2.31660039850375e-11,4.69557080773644e-10
"ENSSSCG00000028420","EIF4E","protein_coding",2,12.303106479969,2.33405335362211e-11,4.72468045078235e-10
"ENSSSCG00000030451","LRRC14","protein_coding",2,12.8348248293123,2.35660541310281e-11,4.76402123392199e-10
"ENSSSCG00000016738","H2AZ2","protein_coding",4,19.416951037504,2.38765382481379e-11,4.82041128198535e-10
"ENSSSCG00000002963",NA,"protein_coding",5,29.5267633162083,2.43308344457674e-11,4.89918501758449e-10
