"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000032820","BRD1","protein_coding",1,7.20808469457033,0.0127079944176885,0.0226462787046081
"ENSSSCG00000008554","ABHD1","protein_coding",1,4.65294880022747,0.0127124337100197,0.0226515426085639
"ENSSSCG00000008058","KCTD5","protein_coding",1,6.93872902451989,0.012715716390035,0.0226524129900075
"ENSSSCG00000056306",NA,"protein_coding",1,4.83181393901027,0.0127158931860754,0.0226524129900075
"ENSSSCG00000058485",NA,"lncRNA",1,4.92674821092074,0.0127271812921755,0.0226698735573397
"ENSSSCG00000052853",NA,"lncRNA",1,1.76088124190105,0.0127474557746891,0.0227033348643114
"ENSSSCG00000058931","DNAAF2","protein_coding",1,6.28415631940664,0.0127649636873471,0.0227305513988141
"ENSSSCG00000017928","BACC1","protein_coding",2,10.2658994417115,0.0127657185506882,0.0227305513988141
"ENSSSCG00000036091","MORC4","protein_coding",1,6.34095855424121,0.0127752869528397,0.0227415243199433
"ENSSSCG00000011020","JCAD","protein_coding",2,6.42335323735936,0.0127747796006111,0.0227415243199433
"ENSSSCG00000043595",NA,"protein_coding",1,2.2092106048189,0.0127763550953475,0.0227415243199433
"ENSSSCG00000014016","SQSTM1","protein_coding",1,10.0407792736252,0.0127807309895976,0.0227466581302957
"ENSSSCG00000013416","MED16","protein_coding",1,7.25169039379757,0.01278863575268,0.0227576832871067
"ENSSSCG00000023935","GMPPA","protein_coding",1,6.66889432832179,0.0127899105364617,0.0227576832871067
"ENSSSCG00000015607","HHAT","protein_coding",1,4.95408071381678,0.0127943983903892,0.0227630126070522
"ENSSSCG00000022333","C16orf87","protein_coding",2,6.91410729278879,0.0128151229107368,0.022797224599373
"ENSSSCG00000010302","USP54","protein_coding",2,13.4681232492561,0.0128257767901044,0.0228120045285656
"ENSSSCG00000000619","FAM234B","protein_coding",1,4.68093874233393,0.0128264231640056,0.0228120045285656
"ENSSSCG00000012164","CNKSR2","protein_coding",1,3.8107521341198,0.0128351908961756,0.0228249359738521
"ENSSSCG00000025218","TXNL4B","protein_coding",2,10.2089296288496,0.0128430285136352,0.0228362105648814
"ENSSSCG00000009940","ALKBH2","protein_coding",1,5.10061172019258,0.0128448767083699,0.0228368339659476
"ENSSSCG00000016918","MAP3K1","protein_coding",1,7.11615187845693,0.0128466794755128,0.0228373764656208
"ENSSSCG00000020986","CAPN13","protein_coding",2,11.0859156860711,0.0128512153605812,0.0228427769009795
"ENSSSCG00000025993","SGPP2","protein_coding",1,7.61905524411851,0.0128550473099667,0.0228469249918044
"ENSSSCG00000027100","MED31","protein_coding",2,11.3141221833811,0.012868398613119,0.0228679886320302
"ENSSSCG00000023400","ZNF598","protein_coding",1,7.14875377153498,0.0128722230987028,0.0228721195562944
"ENSSSCG00000038459","SURF2","protein_coding",1,6.2796152952177,0.0128769785279599,0.0228779034804683
"ENSSSCG00000036758","HSPA12A","protein_coding",1,3.36296680559931,0.0128794404133248,0.0228796117034937
