"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000006796","CHI3L2","protein_coding",2,3.93116335271375,4.75160472079987e-07,0.00724572203874772
"ENSSSCG00000044572",NA,"lncRNA",2,16.1661683846109,2.02337380950725e-06,0.015427213610588
"ENSSSCG00000022300","MAT2A","protein_coding",5,30.57287562808,3.26311877854865e-06,0.0165864327513628
"ENSSSCG00000033697",NA,"protein_coding",4,28.3936793713227,7.18430880338733e-06,0.0273883812357134
"ENSSSCG00000044696",NA,"lncRNA",1,3.95435219895197,9.94231978086957e-06,0.030322086867696
